interaction_id,customer_id,channel,interaction_type,interaction_date,duration,page_or_product,session_id
423db3d3-659d-433f-859a-eea2ff1e2d2c,00012aa8-e99c-4e30-b3f6-1f7e36adc517,,review,2023-03-11 08:37:00,128.0,home,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_0
8cf67dd6-63f8-4333-924d-2126aa87a91d,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,wishlist_add,2023-03-22 04:57:00,9.0,Dell XPS 15,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_1
2e8e17c8-c40f-46ea-810f-08c987eb07c7,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,review,2023-04-11 14:47:00,205.0,category_kitchen,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_2
d5d18036-735c-4d70-842a-0f82a4873fbf,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,page_view,2023-05-23 07:20:00,65.0,category_laptops,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_3
ef756343-1635-4510-85c8-41a399adb8f8,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,product_view,2023-06-06 02:57:00,146.0,Bose Headphones,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_4
2532c4e7-646f-4b8c-b8f0-b4a9ff806108,00012aa8-e99c-4e30-b3f6-1f7e36adc517,mobile app,search,2023-06-30 18:58:00,25.0,category_kitchen,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_5
cd2083ef-6c79-431d-9ed9-2f818da2ea4c,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,,2023-07-29 08:26:00,140.0,support,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_6
507fcfaf-00f7-49a8-aef6-4f2c707c4de2,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,purchase,2023-10-04 12:50:00,285.0,blog,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_7
ccdde842-2cab-4a52-96f1-68992133887b,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,wishlist_add,2023-10-14 13:25:00,9.0,Samsung Galaxy S22,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_8
36d604fe-955a-4909-b517-782d32067f66,00012aa8-e99c-4e30-b3f6-1f7e36adc517,mobile app,wishlist_add,2023-10-15 13:05:00,6.0,iPhone 13,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_9
1e73977c-db0d-4a20-b8ed-3fc43675bd02,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,product_view,2023-11-06 20:17:00,85.0,Coffee Maker,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_10
c6d61cb5-0ff2-4f45-96eb-ebc585498c37,00012aa8-e99c-4e30-b3f6-1f7e36adc517,mobile app,wishlist_add,2023-11-21 14:45:00,3.0,Coffee Maker,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_11
df3b7105-7e90-482d-b17d-2b60530b57ed,00012aa8-e99c-4e30-b3f6-1f7e36adc517,mobile app,wishlist_add,2023-12-13 12:46:00,10.0,iPad Pro,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_12
76af1915-24cd-426a-995f-cf5bf5663780,00012aa8-e99c-4e30-b3f6-1f7e36adc517,mobile app,product_view,2023-12-17 15:35:00,129.0,Refrigerator,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_13
23fc7ad6-01f5-4336-8b3a-53cb4540ced1,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,add_to_cart,2023-12-31 13:53:00,2.0,Bose Headphones,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_14
7dbe57d9-72af-49b9-bd1c-ff9891405abf,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,product_view,2024-02-14 10:14:00,81.0,Sofa,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_15
1b9e2aa1-3b2f-457c-a587-20757c50807c,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,product_view,2024-03-04 10:13:00,68.0,Dell XPS 15,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_16
12fc715f-777a-48f4-b54b-6c1dd4646793,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,checkout,2024-03-22 12:53:00,205.0,home,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_17
64f517b7-2fec-42db-a974-198e738b51c3,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,search,2024-05-05 08:04:00,54.0,wishlist,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_18
b33d0bbc-dfe2-440b-9594-a9951a54782b,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,add_to_cart,2024-05-10 15:39:00,9.0,Samsung Galaxy S22,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_19
f8db1249-80b4-47fd-b441-1ecbdbdf96a1,00012aa8-e99c-4e30-b3f6-1f7e36adc517,web,page_view,2024-05-18 17:57:00,89.0,category_laptops,00012aa8-e99c-4e30-b3f6-1f7e36adc517_session_20
